,X,Y,Area,Perimeter,Radius,Circularity,Convexity,Inertia,Graymean,Graystd,Repimean,Repistd,Gepimean,Gepistd,Bepimean,Bepistd,X_rawImage,Y_rawImage,plate_barcode,colony_index
12,500,913,51.5,27.071067690849304,4.47213595499958,0.8830927583904986,0.9903846153846154,0.9924574616014434,173.31808,0.038243413,81.92784,0.04645941,90.523865,0.028204747,240.00693,0.027876474,650,1063,S2R80105,12
13,1500,916,304.0,65.79898941516876,10.198039027185569,0.8823583515757323,0.9790660225442834,0.9998340000565276,145.49065,0.14907865,85.0002,0.10279589,95.87986,0.08091701,240.43724,0.03274778,1650,1066,S2R80105,13
14,779,916,360.5,72.87005710601807,11.180339887498949,0.8531333381430306,0.9613333333333334,0.9998937398111483,149.76204,0.1305248,89.95213,0.07960004,100.57761,0.07829412,251.98076,0.03635482,929,1066,S2R80105,14
15,763,923,195.0,54.14213526248932,8.365746312736945,0.8359373235167732,0.9629629629629629,0.9915311554665007,163.11853,0.03856946,83.32262,0.036601815,94.18757,0.033745307,239.55774,0.028694207,913,1073,S2R80105,15
16,832,914,323.5,72.87005722522736,10.63014581273465,0.7655718002393398,0.9417758369723436,0.9998242909743617,154.49194,0.11409534,89.06102,0.076106295,99.28603,0.066294625,258.75928,0.053911164,982,1064,S2R80105,16
17,822,933,225.5,57.55634880065918,8.602325267042627,0.8554013643154189,0.9698924731182795,0.9984632896777574,150.29153,0.16630597,90.6095,0.096780345,101.44775,0.09882697,258.96964,0.075311325,972,1083,S2R80105,17
18,1267,910,155.5,47.899494767189026,7.810249675906654,0.8516838110546491,0.9904458598726115,0.9589928333843565,154.6071,0.093023755,90.51496,0.056026764,100.1123,0.052289337,264.76727,0.034988225,1417,1060,S2R80105,18
19,1263,925,238.5,61.55634891986847,9.219544457292887,0.790956395488875,0.9559118236472945,0.9990763362337195,157.94849,0.047238853,87.092415,0.03556927,98.78565,0.032177135,259.81076,0.030996313,1413,1075,S2R80105,19
20,399,906,426.0,77.11269783973694,11.704699910719626,0.9002594071478729,0.9804372842347526,0.9998947226650541,148.6354,0.15673892,91.60473,0.093344964,101.77081,0.08500986,264.08762,0.07206365,549,1056,S2R80105,20
21,921,907,496.0,88.28427064418793,13.0,0.7996959076692686,0.9385052034058656,0.9999380515039353,153.3203,0.11410059,90.02135,0.07779336,101.1635,0.071651265,257.12146,0.038207285,1071,1057,S2R80105,21
22,1293,899,164.0,58.14213538169861,8.0,0.6096376158871419,0.8608923884514436,0.9993848658848252,164.1801,0.04171489,88.287994,0.031369668,96.908875,0.038409837,262.6796,0.024343595,1443,1049,S2R80105,22
23,1298,920,825.0,129.5979790687561,16.64331697709324,0.6172588907343912,0.8607198748043818,0.9999735847018331,160.91473,0.041545786,87.26734,0.034609307,97.17253,0.03523964,260.05972,0.02991219,1448,1070,S2R80105,23
24,1196,900,195.5,54.72792184352875,8.06225774829855,0.8202357825650022,0.9654320987654321,0.9996786399351202,158.07013,0.054293104,87.93227,0.04121102,99.18553,0.033994712,264.4474,0.03290095,1346,1050,S2R80105,24
25,948,895,83.5,36.24264061450958,5.830951894845301,0.7988342452488605,0.9823529411764705,0.9982648510526688,165.83398,0.049256507,84.882835,0.02847096,96.82974,0.03843214,246.76688,0.0173917,1098,1045,S2R80105,25
26,89,893,170.5,52.72792184352875,7.810249675906654,0.7706424670090117,0.9445983379501385,0.9996104661552864,155.00294,0.060737174,83.01287,0.046980258,92.46682,0.046907198,246.66283,0.028367294,239,1043,S2R80105,26
27,1369,893,287.0,69.31370830535889,10.04987562112089,0.7506776608337424,0.9348534201954397,0.9998603471636658,157.37303,0.041262086,84.85815,0.03755099,96.2715,0.031543992,258.68106,0.02698607,1519,1043,S2R80105,27
28,852,891,379.0,78.6274163722992,11.53182902034099,0.7703730177542346,0.932349323493235,0.9996090616680006,159.77719,0.05182263,88.81137,0.038495205,100.47254,0.03568377,265.73615,0.031826094,1002,1041,S2R80105,28
29,681,879,189.0,52.14213538169861,8.48528137423857,0.8735626204580168,0.9792746113989638,0.9996537302295118,152.59949,0.15882531,90.027016,0.104651034,102.40718,0.10821175,267.48138,0.07179931,831,1029,S2R80105,29
30,561,874,95.0,46.82842707633972,5.692582403567252,0.5443952514428773,0.7983193277310925,0.4148913079625764,170.77623,0.036915142,78.52616,0.034890287,89.80771,0.02944217,241.85452,0.020451065,711,1024,S2R80105,30
